_id,Index_,Event_Unique_ID,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Lat,Long,ObjectId,geometry,Longitude,Latitude
137,836,GO-20162172757,2016,D54,Shooting,2016-12-07T05:00:00,58,Old East York (58),,-79.3427277,137,"{u'type': u'Point', u'coordinates': (-79.3427277, 43.6937408)}",-79.3427277,43.6937408
138,837,GO-20162210973,2016,D43,Shooting,2016-12-14T05:00:00,139,Scarborough Village (139),,-79.219696,138,"{u'type': u'Point', u'coordinates': (-79.219696, 43.7450218)}",-79.219696,43.7450218
139,838,GO-20162229166,2016,D14,Stabbing,2016-12-16T05:00:00,83,Dufferin Grove (83),,-79.4316788,139,"{u'type': u'Point', u'coordinates': (-79.4316788, 43.6527443)}",-79.4316788,43.6527443
140,839,GO-20162233489,2016,D12,Shooting,2016-12-17T05:00:00,113,Weston (113),,-79.5162048,140,"{u'type': u'Point', u'coordinates': (-79.5162048, 43.700161)}",-79.5162048,43.700161
141,840,GO-20162242930,2016,D23,Shooting,2016-12-18T05:00:00,6,Kingsview Village-The Westway (6),,-79.5486755,141,"{u'type': u'Point', u'coordinates': (-79.5486755, 43.7013283)}",-79.5486755,43.7013283
142,841,GO-20162276833,2016,D51,Stabbing,2016-12-24T05:00:00,73,Moss Park (73),,-79.3701248,142,"{u'type': u'Point', u'coordinates': (-79.3701248, 43.6561661)}",-79.3701248,43.6561661
143,842,GO-201743106,2017,D51,Shooting,2017-01-08T05:00:00,73,Moss Park (73),,-79.3679428,143,"{u'type': u'Point', u'coordinates': (-79.3679428, 43.6548576)}",-79.3679428,43.6548576
144,843,GO-2016215657,2016,D42,Other,2016-02-05T05:00:00,132,Malvern (132),,-79.2186508,144,"{u'type': u'Point', u'coordinates': (-79.2186508, 43.8065376)}",-79.2186508,43.8065376
145,844,GO-2016215657,2016,D42,Other,2016-02-05T05:00:00,132,Malvern (132),,-79.2186508,145,"{u'type': u'Point', u'coordinates': (-79.2186508, 43.8065376)}",-79.2186508,43.8065376
146,845,GO-2016215657,2016,D42,Other,2016-02-05T05:00:00,132,Malvern (132),,-79.2186508,146,"{u'type': u'Point', u'coordinates': (-79.2186508, 43.8065376)}",-79.2186508,43.8065376
147,846,GO-2016215657,2016,D42,Other,2016-02-05T05:00:00,132,Malvern (132),,-79.2186508,147,"{u'type': u'Point', u'coordinates': (-79.2186508, 43.8065376)}",-79.2186508,43.8065376
148,847,GO-2017137133,2017,D31,Shooting,2017-01-23T05:00:00,21,Humber Summit (21),,-79.5704193,148,"{u'type': u'Point', u'coordinates': (-79.5704193, 43.7559853)}",-79.5704193,43.7559853
149,848,GO-2017163412,2017,D22,Other,2017-01-26T05:00:00,17,Mimico (includes Humber Bay Shores) (17),,-79.5158234,149,"{u'type': u'Point', u'coordinates': (-79.5158234, 43.6120872)}",-79.5158234,43.6120872
150,849,GO-2017186988,2017,D51,Shooting,2017-01-30T05:00:00,73,Moss Park (73),,-79.3710785,150,"{u'type': u'Point', u'coordinates': (-79.3710785, 43.6516075)}",-79.3710785,43.6516075
151,850,GO-2017189239,2017,D51,Shooting,2017-01-30T05:00:00,72,Regent Park (72),,-79.3623352,151,"{u'type': u'Point', u'coordinates': (-79.3623352, 43.6629715)}",-79.3623352,43.6629715
152,851,GO-2017202856,2017,D31,Shooting,2017-02-01T05:00:00,25,Glenfield-Jane Heights (25),,-79.5170746,152,"{u'type': u'Point', u'coordinates': (-79.5170746, 43.7548561)}",-79.5170746,43.7548561
